stem,split,visible_filename,visible_shape,visible_dtype,visible_channels,infrared_filename,infrared_shape,infrared_dtype,infrared_channels,depth_filename,depth_shape,depth_dtype,depth_channels,depth_kind,width_equal,height_equal,ir_mean,ir_std,ir_diff_bg,ir_diff_br,ir_diff_gr,ir_border_left_px,ir_border_right_px,ir_fov_ratio,depth_min,depth_max,depth_mean,depth_median,depth_std,depth_zero_ratio,depth_dynamic_range,depth_entropy_bits,depth_diff_bg,depth_diff_br,depth_diff_gr,depth_border_left_px,depth_border_right_px,depth_fov_ratio,reg_ir_dx,reg_ir_dy,reg_ir_magnitude,reg_ir_confidence,reg_ir_edge_correlation,reg_ir_peak_margin,reg_ir_peak_ratio,reg_ir_reliable,reg_ir_reason,reg_depth_dx,reg_depth_dy,reg_depth_magnitude,reg_depth_confidence,reg_depth_edge_correlation,reg_depth_peak_margin,reg_depth_peak_ratio,reg_depth_reliable,reg_depth_reason
00000004,train,00000004.jpg,360x640x3,uint8,3,00000004.jpg,360x640x3,uint8,3,00000004.jpg,360x640x3,uint8,3,jpg_uint8,True,True,55.30470920138889,43.95520727878149,0.0,0.0,0.0,73.0,42.0,0.8203125,0.0,255.0,39.31338541666667,,73.0226315256294,0.7304427083333334,255.0,2.9008755496751792,0.0,0.0,0.0,14.5,0.0,0.2660546875,0.0,1.3333333333333333,1.3333333333333333,0.9241085061025462,0.38586175441741943,0.014916062355041504,1.359319274314234,True,reliable,1.3333333333333333,-2.6666666666666665,2.9814239699997196,0.0,0.06625666469335556,0.0010662451386451721,1.451151512896631,False,"low_edge_correlation,ambiguous_peak"
00000008,train,00000008.jpg,360x640x3,uint8,3,00000008.jpg,360x640x3,uint8,3,00000008.jpg,360x640x3,uint8,3,jpg_uint8,True,True,53.77549479166667,43.5982660068072,0.0,0.0,0.0,73.0,42.0,0.8203125,0.0,255.0,39.46101996527778,,73.06254734340224,0.7288671875,255.0,2.915903270852662,0.0,0.0,0.0,14.5,0.0,0.26333984375,-1.3333333333333333,2.6666666666666665,2.9814239699997196,0.8232752482096355,0.4183540642261505,0.012349128723144531,1.4067423582921552,True,reliable,0.0,1.3333333333333333,1.3333333333333333,0.0,0.08932653069496155,0.0033246204257011414,1.3498175880186785,False,low_edge_correlation
00000022,val,00000022.jpg,360x640x3,uint8,3,00000022.jpg,360x640x3,uint8,3,00000022.jpg,360x640x3,uint8,3,jpg_uint8,True,True,64.70684027777777,50.62927128842278,0.0,0.0,0.0,73.0,42.0,0.8203125,0.0,255.0,39.33802951388889,,73.08777280039897,0.7300434027777778,255.0,2.90651497243328,0.0,0.0,0.0,14.0,0.0,0.2662673611111111,,,,,,,,,,,,,,,,,,
00000025,val,00000025.jpg,360x640x3,uint8,3,00000025.jpg,360x640x3,uint8,3,00000025.jpg,360x640x3,uint8,3,jpg_uint8,True,True,56.28716579861111,44.34018123653568,0.0,0.0,0.0,73.0,42.0,0.8203125,0.0,255.0,39.38590277777778,,73.09341621498245,0.7293836805555556,255.0,2.909689502837339,0.0,0.0,0.0,14.0,0.0,0.268984375,0.0,2.6666666666666665,2.6666666666666665,0.7406036059061687,0.4294103980064392,0.01110905408859253,1.4397459649533717,True,reliable,9.333333333333334,9.333333333333334,13.199326582148888,0.0,0.09960735589265823,0.00028471648693084717,1.590070350922055,False,"low_edge_correlation,ambiguous_peak"
00000031,train,00000031.jpg,360x640x3,uint8,3,00000031.jpg,360x640x3,uint8,3,00000031.jpg,360x640x3,uint8,3,jpg_uint8,True,True,62.9966015625,49.33798411790533,0.0,0.0,0.0,73.0,42.0,0.8203125,0.0,255.0,38.682803819444445,,71.86731041803311,0.7208029513888888,255.0,3.004373533700529,0.0,0.0,0.0,16.0,0.0,0.2627083333333333,,,,,,,,,,,,,,,,,,
00000033,train,00000033.jpg,360x640x3,uint8,3,00000033.jpg,360x640x3,uint8,3,00000033.jpg,360x640x3,uint8,3,jpg_uint8,True,True,63.33906684027778,48.60990896744878,0.0,0.0,0.0,73.0,42.0,0.8203125,0.0,255.0,39.22005642361111,,73.04577557607767,0.7322612847222222,255.0,2.884732637887417,0.0,0.0,0.0,13.0,0.0,0.26397135416666667,0.0,2.6666666666666665,2.6666666666666665,0.7139007250467937,0.4353322386741638,0.010708510875701904,1.436358741248014,True,reliable,6.666666666666667,10.666666666666666,12.578641509408804,0.0,0.09397376328706741,0.0003923550248146057,3.918721210648728,False,"low_edge_correlation,ambiguous_peak,search_boundary"
00000034,train,00000034.jpg,360x640x3,uint8,3,00000034.jpg,360x640x3,uint8,3,00000034.jpg,360x640x3,uint8,3,jpg_uint8,True,True,62.72455295138889,48.51264978146673,0.0,0.0,0.0,73.0,42.0,0.8203125,0.0,255.0,39.77213975694445,,73.68609638910044,0.7284375,255.0,2.9170085737012257,0.0,0.0,0.0,16.0,0.0,0.2627083333333333,-1.3333333333333333,1.3333333333333333,1.8856180831641267,0.8470694224039714,0.440788209438324,0.01270604133605957,1.3729965488492808,True,reliable,0.0,-1.3333333333333333,1.3333333333333333,0.0,0.08985970169305801,0.0020624324679374695,1.546992198510377,False,"low_edge_correlation,ambiguous_peak"
00000036,val,00000036.jpg,360x640x3,uint8,3,00000036.jpg,360x640x3,uint8,3,00000036.jpg,360x640x3,uint8,3,jpg_uint8,True,True,63.19442708333333,47.56115117285372,0.0,0.0,0.0,73.0,42.0,0.8203125,0.0,255.0,39.00888020833333,,72.92644410134709,0.7331770833333333,255.0,2.876504384718621,0.0,0.0,0.0,13.5,0.0,0.2664800347222222,0.0,2.6666666666666665,2.6666666666666665,0.9511514902114867,0.39023029804229736,0.015041857957839966,1.3943113948442463,True,reliable,10.666666666666666,10.666666666666666,15.084944665313014,0.0,0.04161230847239494,0.0007717013359069824,1.6061843932552506,False,"low_edge_correlation,ambiguous_peak,search_boundary"
00000038,train,00000038.jpg,360x640x3,uint8,3,00000038.jpg,360x640x3,uint8,3,00000038.jpg,360x640x3,uint8,3,jpg_uint8,True,True,60.59161892361111,46.95182898313681,0.0,0.0,0.0,73.0,42.0,0.8203125,0.0,255.0,39.28021267361111,,73.06848422021282,0.7310763888888889,255.0,2.896314681146193,0.0,0.0,0.0,14.0,0.0,0.2662673611111111,-1.3333333333333333,2.6666666666666665,2.9814239699997196,0.6819566090901693,0.41456669569015503,0.010229349136352539,1.366497267653813,True,reliable,0.0,-1.3333333333333333,1.3333333333333333,0.0,0.06469812244176865,0.001133754849433899,1.4123626613127782,False,"low_edge_correlation,ambiguous_peak"
00000043,val,00000043.jpg,360x640x3,uint8,3,00000043.jpg,360x640x3,uint8,3,00000043.jpg,360x640x3,uint8,3,jpg_uint8,True,True,63.625690104166665,49.93333533862304,0.0,0.0,0.0,73.0,42.0,0.8203125,0.0,255.0,26.170542534722223,,55.06252443057312,0.7410503472222222,255.0,2.773783292354824,0.0,0.0,0.0,18.0,0.0,0.24296875,,,,,,,,,,,,,,,,,,
